sample,reaction,lb,ub
WT3,FRTT,0.0,1000.0
WT3,2MCD,0.0,1000.0
WT3,2MCS,0.0,1000.0
WT3,2MID,0.0,1000.0
WT3,2MIL,0.0,1000.0
WT3,Gln_LT,0.0,1000.0
WT3,TREP,0.0,1000.0
WT3,HDECH,-1000.0,1000.0
WT3,DTBTST,0.0,1000.0
WT3,IPDPUDCT,0.0,1000.0
WT3,ACHMSSH,0.0,1000.0
WT3,PDBL_1,0.0,1000.0
WT3,PDBL_2,0.0,1000.0
WT3,PDBL_3,0.0,1000.0
WT3,PDBL_4,0.0,1000.0
WT3,EX_ni2,0.0,1000.0
WT3,Ni2t,0.0,0.0
WT3,EX_mn2,0.0,1000.0
WT3,Mn2t,0.0,3.6999999999999984
WT3,2O4EH,0.0,0.0
WT3,G6PDH,0.0,1000.0
WT3,2PLS,0.0,1000.0
WT3,LPPGS,0.0,1000.0
WT3,DMHDRFS,0.0,1000.0
WT3,LPFPLT,0.0,0.0
WT3,GF4GL_0,0.0,1000.0
WT3,GF4GL_1,0.0,0.0
WT3,MBP_1,0.0,0.0
WT3,FAD_1,0.0,1000.0
WT3,FAD_2,0.0,1000.0
WT3,FAD_3,0.0,1000.0
WT3,FAD_4,0.0,1000.0
WT3,FAD_5,0.0,1000.0
WT3,FAD_6,0.0,1000.0
WT3,FAD_7,0.0,1000.0
WT3,FAD_8,0.0,1000.0
WT3,FAD_9,0.0,1000.0
WT3,FAD_10,0.0,1000.0
WT3,FAD_11,0.0,1000.0
WT3,FAD_12,0.0,1000.0
WT3,FAD_13,0.0,1000.0
WT3,FAD_14,0.0,1000.0
WT3,FAD_15,0.0,1000.0
WT3,FAD_16,0.0,1000.0
WT3,FAD_17,0.0,1000.0
WT3,FAD_18,0.0,1000.0
WT3,FAD_19,0.0,1000.0
WT3,FAD_20,0.0,1000.0
WT3,FAD_21,0.0,1000.0
WT3,FAD_22,0.0,1000.0
WT3,FAD_23,0.0,1000.0
WT3,FAD_24,0.0,1000.0
WT3,FAD_25,0.0,1000.0
WT3,FAD_26,0.0,1000.0
WT3,FAD_27,0.0,1000.0
WT3,3HIBD,0.0,1000.0
WT3,ALDR,0.0,1000.0
WT3,AL4D,0.0,1000.0
WT3,MANT1,0.0,1000.0
WT3,ARABT,0.0,0.0
WT3,HOAS,0.0,1000.0
WT3,SR1,0.0,1000.0
WT3,SR2,0.0,1000.0
WT3,MR,0.0,1000.0
WT3,GLYCS_I,0.0,1000.0
WT3,GLYCS_II,0.0,1000.0
WT3,LALDD,0.0,1000.0
WT3,CYST_II,0.0,1000.0
WT3,FUSA1,0.0,2.350000000861746
WT3,ISCS,-1000.0,1000.0
WT3,GLYTRS,0.0,1000.0
WT3,SELCYSS,0.0,1000.0
WT3,TYRTRS,0.0,1000.0
WT3,biomass,0.0,1000.0
WT3,ECHA20,0.0,1000.0
WT3,CHOL1,0.0,1000.0
WT3,FADE282,0.0,1000.0
WT3,HOPNTAL2,0.0,0.0
WT3,ECHA192,-1000.0,1000.0
WT3,HSA,0.0,1000.0
WT3,FADB3,0.0,0.0
WT3,FADB2,0.0,0.0
WT3,CHCD,0.0,1000.0
WT3,HDAD,0.0,1000.0
WT3,CHOD,0.0,0.0
WT3,3HSA,0.0,1000.0
WT3,HSAC,0.0,1000.0
WT3,HSAE,0.0,0.0
WT3,HIAA,0.0,1000.0
WT3,IPDAB,0.0,0.0
WT3,KSH,0.0,0.0
WT3,ECHA193,-1000.0,1000.0
WT3,CYP1,0.0,0.0
WT3,HIPB,0.0,1000.0
WT3,HIPA,0.0,1000.0
WT3,CHOLCOA,0.0,1000.0
WT3,ECHA191,-1000.0,1000.0
WT3,FADE30,0.0,1000.0
WT3,CYP3,0.0,0.0
WT3,CYP2,0.0,0.0
WT3,PRCOA1,0.0,1000.0
WT3,FADE281,0.0,1000.0
WT3,FADD3,0.0,0.0
WT3,KSTD,0.0,1000.0
WT3,FADD17,0.0,1000.0
WT3,FADE51,0.0,1000.0
WT3,FADE52,0.0,1000.0
WT3,HIAt,-1000.0,1000.0
WT3,MACCOAT,0.0,0.16764705882358957
WT3,ACCOAC,-1.1749999999999998,2.350000001490116
WT3,CHSTEROLt,0.0,0.0
WT3,EX_chsterol,0.0,1000.0
WT3,MOEA1,0.0,1000.0
WT3,MPTAT,0.0,0.0
WT3,MOBA,0.0,0.0
WT3,MOAE1,0.0,1000.0
WT3,MOEB1,0.0,1000.0
WT3,MOBDabc,0.0,1000.0
WT3,MOBDabc_rev,0.0,1000.0
WT3,PHBADA,0.0,1000.0
WT3,PHBADB,0.0,1000.0
WT3,PHBADC,0.0,1000.0
WT3,PHBADD,0.0,1000.0
WT3,INO1,-2.2737367544323206e-13,0.00030366512697117836
WT3,NAGINSP,-2.541897207976054e-13,0.00015609233522939704
WT3,NAGINS,-1000.0,1000.0
WT3,LAT,0.0,0.0
WT3,KGD2,-2.000000000078444,0.0
WT3,ASPO6,0.0,0.00034316482859580874
WT3,ECOAH12,0.0,0.24782608695657127
WT3,FADE233,0.0,0.24782608725943817
WT3,BKDC,0.0,0.24782608729503858
WT3,BKDA2,0.0,0.24782608710619972
WT3,3HBCOAHL,0.0,999999.0
WT3,AKGDa,-999999.0,999999.0
WT3,ACt2r,-1000.0,1000.0
WT3,EX_4hba,0.0,1000.0
WT3,4HBAt,-1000.0,1000.0
WT3,4ABZt,-1000.0,1000.0
WT3,CHLabc_rev,0.0,1000.0
WT3,GCALDD,0.0,1000.0
WT3,PYDXNtr,-1000.0,1000.0
WT3,EX_pydxn,-1.0,1000.0
WT3,GLYALDDr,0.0,1000.0
WT3,FORt,-1000.0,1000.0
WT3,GLYCLTt,-1000.0,1000.0
WT3,EX_glyclt,0.0,1000.0
WT3,NO3t2,-1000.0,1000.0
WT3,ROSFE,0.0,1000.0
WT3,MNabc_rev,0.0,1000.0
WT3,COBC,0.0,1000.0
WT3,ADOCBLabc,0.0,0.0
WT3,COB2,-1000.0,1000.0
WT3,CBL2OR,-1000.0,1000.0
WT3,DRBK,-1000.0,1000.0
WT3,5DOAN,-1000.0,1000.0
WT3,AKGt2r,-1000.0,1000.0
WT3,EX_co,0.0,1000.0
WT3,PHEMEt,0.0,1000.0
WT3,EX_pheme,0.0,1000.0
WT3,HEMEOS,-3.104607276917318e-14,1.9064712699768978e-05
WT3,HEMEAS_1,0.0,1000.0
WT3,GSEALD,0.0,1000.0
WT3,CPPPGO2,0.0,1000.0
WT3,EX_hia,0.0,1000.0
WT3,L_LACDcm,0.0,0.3133333333333894
WT3,FPRA,0.0,1000.0
WT3,COCO2,-1.0666666666654159,0.0
WT3,ACALDt,-1000.0,1000.0
WT3,EX_acald,0.0,1000.0
WT3,NMO,0.0,0.31333333353301146
WT3,OCDCEAt,-1000.0,1000.0
WT3,EX_ocdcea,0.0,1000.0
WT3,UREAt,-1000.0,1000.0
WT3,PAPA1,0.0,0.0
WT3,PAPA2,0.0,1000.0
WT3,MMPL8,0.0,0.0
WT3,PKS2,-1.2418429107669273e-13,7.625885079907648e-05
WT3,MAS3,0.0,1000.0
WT3,EX_gln_L,0.0,1000.0
WT3,SIRA2,-0.2590909090910021,0.0
WT3,APSR,0.0,999999.0
WT3,SHSL2r,0.0,1000.0
WT3,CYSK2_I,0.0,1000.0
WT3,CYSM_I,0.0,1000.0
WT3,CYSM_II,0.0,0.0388663967611338
WT3,CYSO_I,0.0,0.03886639686504623
WT3,CYSO_II,0.0,0.03886639686504623
WT3,THMP,0.0,1000.0
WT3,VIUB,0.0,6.672435236814269e-05
WT3,MBTK3,0.0,1000.0
WT3,MBTG,0.0,1.3523714579896769e-08
WT3,MBTA3,0.0,0.0
WT3,ALCD2x,-1000.0,1000.0
WT3,ETOHt2r,-1000.0,1000.0
WT3,EX_etoh,0.0,1000.0
WT3,MTAP,0.0,0.0
WT3,PKS122,0.0,0.0
WT3,PKS121,0.0,0.0
WT3,ORNDC,0.0,1000.0
WT3,MBTA1,0.0,6.7618572899483845e-09
WT3,HACD9,0.0,1000.0
WT3,ECOAH9ir,0.0,0.1676470588235628
WT3,OIVD3,0.0,0.16764705892535403
WT3,BKDC1,0.0,0.16764705892535403
WT3,MAK,-1000.0,1000.0
WT3,GLGE,0.0,2.3499999999999996
WT3,TREY,0.0,2.35
WT3,GLGB,0.0,1.1749999999999998
WT3,GLGP,0.0,1000.0
WT3,AMYL2,-1000.0,1000.0
WT3,PYRD1,0.0,1000.0
WT3,SHCHCS3,-1000.0,1000.0
WT3,SEPHCHCS,-1000.0,1000.0
WT3,SALSYN,0.0,1.4595803362191769e-08
WT3,APRO,0.0,1000.0
WT3,AOBUTDs,0.0,1000.0
WT3,THRD,0.0,1000.0
WT3,EX_adocbl,0.0,1000.0
WT3,DMBI,-1000.0,1000.0
WT3,BARB,-1000.0,1000.0
WT3,HETZK,-1000.0,1000.0
WT3,PYDXNK,0.0,1000.0
WT3,EX_mobd,-1000.0,1000.0
WT3,TBSYNLDPS,0.0,0.03333333333333333
WT3,TBSNLS1,0.0,0.03333333336717599
WT3,TBSNLS2,0.0,0.03333333333333332
WT3,TBSNLS3,0.0,0.03333333333333333
WT3,BKDA1,0.0,0.1676470588235695
WT3,BPNT2,0.0,2.3500000000001364
WT3,GLPD2,0.0,1000.0
WT3,G3PD1ir,0.0,10.133333333333333
WT3,G3PT,0.0,1000.0
WT3,DHORD2,0.0,1000.0
WT3,PPAKr,0.0,1000.0
WT3,PTA2,-1000.0,1000.0
WT3,EMB,-1.4184174496415997e-14,6.956117476635847e-06
WT3,BTNt,-1000.0,1000.0
WT3,EX_btn,-1.0,1000.0
WT3,GXRA,0.0,1.0000000000000002
WT3,OPP,0.0,1000.0
WT3,HEXTT,0.0,0.0001406022561607977
WT3,PPTTm,0.0,1000.0
WT3,GGTT,0.0,0.00014060225616085894
WT3,ACYP_2,0.0,1000.0
WT3,GTPDPDP,-1000.0,1000.0
WT3,PPGPPDP,0.0,1000.0
WT3,AKGDH,0.0,1000.0
WT3,EX_nodcoa,0.0,1000.0
WT3,NODCOAt,0.0,1000.0
WT3,EX_octscoa,0.0,1000.0
WT3,OCTSCOAt,0.0,1000.0
WT3,ATPM,3.15,1000.0
WT3,VPAMTr,-1000.0,0.0
WT3,EGTB,0.0,1000.0
WT3,EGTC,0.0,1000.0
WT3,EGTE,0.0,1000.0
WT3,TMDS3,0.0,0.00012153754346103113
WT3,MHUD1,0.0,0.0
WT3,OTSB1,0.0,5.234940113056771e-05
WT3,MYCOPP,0.0,0.00040380770117565135
WT3,TMMYCO,0.0,1000.0
WT3,MYCOE,0.0,1000.0
WT3,PPM1,0.0,0.00035150574040443416
WT3,PEPA,0.0,1000.0
WT3,NADDP,0.0,1000.0
WT3,NMNAT,0.0,1000.0
WT3,EGTD,0.0,1000.0
WT3,ACONMT,0.0,1000.0
WT3,MANPGH,0.0,0.0
WT3,EPH,0.0,0.0
WT3,FBPA,0.0,1000.0
WT3,DGTP8DETOX,0.0,1000.0
WT3,DGTP8OXO,0.0,1000.0
WT3,GTP8OXO,0.0,1000.0
WT3,TAG,0.0,0.0
WT3,LIPY,0.0,0.0
WT3,LIPW,0.0,1000.0
WT3,CHOLK,-1000.0,1000.0
WT3,PC_TBt,-1000.0,1000.0
WT3,BIRA,0.0,1000.0
WT3,ACCD3,0.0,1000.0
WT3,ACCA3,0.0,1.1750000000000003
WT3,GMHEPPA,0.0,0.07415730337078652
WT3,ALCD19y,-1000.0,1000.0
WT3,EX_pc_TB,0.0,1000.0
WT3,DM_ergoth_c,0.0,1000.0
WT3,DM_tbsinol_c,0.0,1000.0
WT3,DM_isotbsinol__13S_c,0.0,1000.0
WT3,DM_isotbsinol__13R_c,0.0,1000.0
WT3,DM_psd5p_c,0.0,1000.0
WT3,DM_cpppg1_c,0.0,1000.0
WT3,DM_scys__L_c,0.0,1000.0
WT3,DM_gmhep1p_c,0.0,1000.0
PknF_KO1,2AGPEAT160,0.0,1000.0
PknF_KO1,2AGPEAT180,0.0,1000.0
PknF_KO1,5DGLCNR,0.0,0.0
PknF_KO1,AACPS10,0.0,1000.0
PknF_KO1,AACPS11,0.0,1000.0
PknF_KO1,AACPS3,0.0,1000.0
PknF_KO1,ABTA,0.0,1000.0
PknF_KO1,ACACT1r,0.0,2.6175756717773285e-08
PknF_KO1,ACALDi,0.0,0.9999999999993178
PknF_KO1,ACBIPGT,0.0,1000.0
PknF_KO1,ACCC,0.0,1000.0
PknF_KO1,ACChex,0.0,1000.0
PknF_KO1,ACGAMPM,-1000.0,1000.0
PknF_KO1,ACGAMT,0.0,1000.0
PknF_KO1,ACGK,0.0,1000.0
PknF_KO1,ACGS,0.0,1000.0
PknF_KO1,ACHBS,0.0,1000.0
PknF_KO1,ACKr,-1000.0,1000.0
PknF_KO1,ACLS,0.0,1000.0
PknF_KO1,ACODA,0.0,0.0
PknF_KO1,ACONT,-1000.0,1000.0
PknF_KO1,ACOTA,-1000.0,1000.0
PknF_KO1,ACP1_FMN,0.0,1000.0
PknF_KO1,ACPS1,0.0,1000.0
PknF_KO1,ACS,0.0,1000.0
PknF_KO1,ACS2,0.0,1000.0
PknF_KO1,ACYSBMNt,-1000.0,1000.0
PknF_KO1,ADA,0.0,0.7999999999999998
PknF_KO1,ADCL,0.0,1000.0
PknF_KO1,ADCPS1,0.0,1000.0
PknF_KO1,ADCPS2,0.0,1000.0
PknF_KO1,ADCS,0.0,1000.0
PknF_KO1,ADCYRS,0.0,0.0
PknF_KO1,ADK1,-1000.0,1000.0
PknF_KO1,ADK2,-1000.0,1000.0
PknF_KO1,ADMDCr,-1000.0,1000.0
PknF_KO1,ADNCYC,0.0,1.175
PknF_KO1,ADNK1,0.0,2.3499999999999996
PknF_KO1,ADNK3,0.0,2.35
PknF_KO1,ADNK4,0.0,2.3499999999999996
PknF_KO1,ADOCBIK,0.0,1000.0
PknF_KO1,ADOCBLS,0.0,1000.0
PknF_KO1,ADPT,0.0,1000.0
PknF_KO1,ADSK,0.0,2.349999999999999
PknF_KO1,ADSL1r,-1000.0,1000.0
PknF_KO1,ADSL2r,-1000.0,1000.0
PknF_KO1,ADSS,0.0,1000.0
PknF_KO1,AFTA,0.0,5.667947573554373e-06
PknF_KO1,AGDC,0.0,1000.0
PknF_KO1,AGMT,0.0,1000.0
PknF_KO1,AGPAT160,0.0,0.23703703703703768
PknF_KO1,AGPAT160190,0.0,0.00044124085999080716
PknF_KO1,AGPAT190,0.0,0.0001455709969082656
PknF_KO1,AGPR,-1000.0,1000.0
PknF_KO1,AHC,0.0,0.7833333333333334
PknF_KO1,AHCYSNS,0.0,1000.0
PknF_KO1,AHMMPS,0.0,1000.0
PknF_KO1,AICART,-1000.0,1000.0
PknF_KO1,AIRCr,0.0,1000.0
PknF_KO1,AKGDb,0.0,1000.0
PknF_KO1,ALAALAD,0.0,1000.0
PknF_KO1,ALAALAr,-1000.0,1000.0
PknF_KO1,ALAD_L,0.0,1000.0
PknF_KO1,ALAR,-1000.0,1000.0
PknF_KO1,ALAt2r,-1000.0,1000.0
PknF_KO1,ALDD1,0.0,0.0
PknF_KO1,ALDD19x,0.0,1000.0
PknF_KO1,ALDD2x,0.0,1000.0
PknF_KO1,AMAOTr,0.0,0.0
PknF_KO1,AMID4,0.0,1000.0
PknF_KO1,AMMQT8,0.0,1000.0
PknF_KO1,AMMQT8_2,0.0,1000.0
PknF_KO1,AMPTASECG,0.0,1000.0
PknF_KO1,ANPRT,0.0,1000.0
PknF_KO1,ANS,0.0,1000.0
PknF_KO1,AOXSr,0.0,0.0
PknF_KO1,APRAUR,0.0,1000.0
PknF_KO1,ARACHTA,-1000.0,1000.0
PknF_KO1,ARB_Dabc,0.0,1000.0
PknF_KO1,ARBabc,0.0,1000.0
PknF_KO1,ARBt2r,-1000.0,1000.0
PknF_KO1,ARGDC,0.0,1000.0
PknF_KO1,ARGDr,0.0,1000.0
PknF_KO1,ARGSL,0.0,1000.0
PknF_KO1,ARGSS,0.0,1000.0
PknF_KO1,ARGt5r,-1000.0,1000.0
PknF_KO1,ASAD,-1000.0,1000.0
PknF_KO1,ASNN,0.0,1000.0
PknF_KO1,ASNS1,0.0,1000.0
PknF_KO1,ASNt2r,-1000.0,1000.0
PknF_KO1,ASP1DC,0.0,1000.0
PknF_KO1,ASPCT,0.0,0.058928571428571414
PknF_KO1,ASPK,-1000.0,1000.0
PknF_KO1,ASPO5,0.0,0.00034294416664069227
PknF_KO1,ASPTA,-1000.0,1000.0
PknF_KO1,ASPt2r,-1000.0,1000.0
PknF_KO1,AST,0.0,1000.0
PknF_KO1,ATPPRT,0.0,1000.0
PknF_KO1,ATPS4r,-1000.0,1000.0
PknF_KO1,BACCL,0.0,1000.0
PknF_KO1,BALAt2r,-1000.0,1000.0
PknF_KO1,BDH,-1000.0,1000.0
PknF_KO1,BETALDHx,0.0,1000.0
PknF_KO1,BMNMSHS,0.0,1000.0
PknF_KO1,BMNt,-1000.0,1000.0
PknF_KO1,BPNT,0.0,0.2260000000000987
PknF_KO1,BTS2,-1000.0,1000.0
PknF_KO1,BTS3r,-1000.0,1000.0
PknF_KO1,CAATPS,0.0,1000.0
PknF_KO1,CAT,0.0,1.600000000000005
PknF_KO1,CAt4,-1000.0,1000.0
PknF_KO1,CBIAT,-1000.0,1000.0
PknF_KO1,CBLAT,-1000.0,1000.0
PknF_KO1,CBPS,0.0,0.2285714285715017
PknF_KO1,CDAPPA160,0.0,1000.0
PknF_KO1,CDAPPA160190,0.0,1000.0
PknF_KO1,CDAPPA190,0.0,1000.0
PknF_KO1,CDPMEK,0.0,1000.0
PknF_KO1,CDPPT160,0.0,1000.0
PknF_KO1,CDPPT160190,0.0,1000.0
PknF_KO1,CHLabc,0.0,1000.0
PknF_KO1,CHOLD,0.0,1000.0
PknF_KO1,CHORM,0.0,1000.0
PknF_KO1,CHORS,0.0,0.11162790697661291
PknF_KO1,CHRPL,0.0,1000.0
PknF_KO1,CIGAMS,0.0,1000.0
PknF_KO1,CITLr,0.0,2.3499999999999996
PknF_KO1,CITabc,0.0,1000.0
PknF_KO1,CLPNS160190,-1000.0,1000.0
PknF_KO1,CMCBTFL,0.0,6.672649442799499e-05
PknF_KO1,CMCBTFU,0.0,6.672659446849138e-05
PknF_KO1,CMLDC,0.0,1000.0
PknF_KO1,CO2t,-1000.0,1000.0
PknF_KO1,COAt,-1000.0,1000.0
PknF_KO1,COBALTt5,-1000.0,1000.0
PknF_KO1,COCHL,0.0,1000.0
PknF_KO1,COt,-1000.0,1000.0
PknF_KO1,CPC6R,0.0,0.0
PknF_KO1,CPPPGO,0.0,1000.0
PknF_KO1,CRNabc,0.0,1000.0
PknF_KO1,CS,0.0,3.1333333333341216
PknF_KO1,CTPS1,0.0,1000.0
PknF_KO1,CTPS2,0.0,1000.0
PknF_KO1,CYANST,0.0,0.0
PknF_KO1,CYO1a,0.0,8.133333333333333
PknF_KO1,CYO1b,0.0,1000.0
PknF_KO1,CYRDAAT,0.0,1000.0
PknF_KO1,CYRDAR,0.0,1000.0
PknF_KO1,CYSS,0.0,0.02386364123844133
PknF_KO1,CYSTL,0.0,1000.0
PknF_KO1,CYSTS,0.0,1000.0
PknF_KO1,CYTBD,0.0,1000.0
PknF_KO1,CYTBD2,0.0,1000.0
PknF_KO1,CYTD,0.0,0.9249999999999998
PknF_KO1,CYTDK2,0.0,1000.0
PknF_KO1,CYTDt2r,-1000.0,1000.0
PknF_KO1,CYTK1,-1000.0,1000.0
PknF_KO1,CYTK2,-1000.0,1000.0
PknF_KO1,Clt,-1000.0,1000.0
PknF_KO1,Cuabc,0.0,1000.0
PknF_KO1,Cut1,0.0,1000.0
PknF_KO1,DADA,0.0,1000.0
PknF_KO1,DADK,-1000.0,1000.0
PknF_KO1,DAGK160,0.0,1000.0
PknF_KO1,DALAOX,0.0,1000.0
PknF_KO1,DALAt2r,-1000.0,1000.0
PknF_KO1,DAPDC,0.0,1000.0
PknF_KO1,DAPE,-1000.0,1000.0
PknF_KO1,DASYN160,0.0,1000.0
PknF_KO1,DASYN160190,0.0,1000.0
PknF_KO1,DASYN190190,0.0,1000.0
PknF_KO1,DB4PS,0.0,1000.0
PknF_KO1,DBTSr,-1000.0,1000.0
PknF_KO1,DCPDP,0.0,1000.0
PknF_KO1,DCPDPP,0.0,1000.0
PknF_KO1,DCPDPS,0.0,1000.0
PknF_KO1,DCPE,0.0,0.0006184235336441952
PknF_KO1,DCPT,0.0,1000.0
PknF_KO1,DCTPD,0.0,1000.0
PknF_KO1,DCTPD2,0.0,1000.0
PknF_KO1,DCYTD,0.0,1000.0
PknF_KO1,DDPA,0.0,1000.0
PknF_KO1,DESAT16,0.0,0.23703703716080327
PknF_KO1,DESAT18,0.0,0.10285714285737825
PknF_KO1,DGC3D,0.0,1000.0
PknF_KO1,DGK1,-1000.0,1000.0
PknF_KO1,DHAD1,0.0,1000.0
PknF_KO1,DHAD2,0.0,1000.0
PknF_KO1,DHDPRy,0.0,1000.0
PknF_KO1,DHDPS,0.0,0.19123076923083185
PknF_KO1,DHFR,-1000.0,1000.0
PknF_KO1,DHFS,0.0,1000.0
PknF_KO1,DHNAOT,0.0,1000.0
PknF_KO1,DHNPA,0.0,9.022475928554782e-06
PknF_KO1,DHNPA2,0.0,9.532356349884462e-06
PknF_KO1,DHORTS,-1000.0,1000.0
PknF_KO1,DHPPDA,0.0,1000.0
PknF_KO1,DHPPDA2,0.0,1000.0
PknF_KO1,DHPS2,0.0,9.532356361182613e-06
PknF_KO1,DHQD,-1000.0,1000.0
PknF_KO1,DHQS,0.0,1000.0
PknF_KO1,DMATT,0.0,1000.0
PknF_KO1,DMPPS,0.0,1000.0
PknF_KO1,DNMPPA,0.0,1000.0
PknF_KO1,DNTPPA,0.0,1000.0
PknF_KO1,DPCOAK,0.0,1000.0
PknF_KO1,DPPS,0.0,1000.0
PknF_KO1,DPR,0.0,0.010000000486328636
PknF_KO1,DRPA,0.0,1000.0
PknF_KO1,DSERt2r,-1000.0,1000.0
PknF_KO1,DTMPK,-1000.0,1000.0
PknF_KO1,DURIK1,0.0,0.0
PknF_KO1,DURIPP,-1000.0,1000.0
PknF_KO1,DUTPDP,0.0,1000.0
PknF_KO1,DXPRIi,0.0,1000.0
PknF_KO1,DXPS,0.0,1000.0
PknF_KO1,ENO,-1.4249999999999998,0.0
PknF_KO1,ETHAt,-1000.0,1000.0
PknF_KO1,EX_acysbmn,0.0,1000.0
PknF_KO1,EX_ala_B,0.0,1000.0
PknF_KO1,EX_ala_D,0.0,1000.0
PknF_KO1,EX_ala_L,0.0,1000.0
PknF_KO1,EX_arab_D,0.0,1000.0
PknF_KO1,EX_arab_L,0.0,1000.0
PknF_KO1,EX_arg_L,0.0,1000.0
PknF_KO1,EX_asn_L,0.0,1000.0
PknF_KO1,EX_asp_L,0.0,1000.0
PknF_KO1,EX_atp,0.0,1000.0
PknF_KO1,EX_bmn,0.0,1000.0
PknF_KO1,EX_ca2,-1000.0,1000.0
PknF_KO1,EX_chol,0.0,1000.0
PknF_KO1,EX_cit,-1.0,1000.0
PknF_KO1,EX_cl,-1000.0,1000.0
PknF_KO1,EX_co2,-1000.0,1000.0
PknF_KO1,EX_coa,0.0,1000.0
PknF_KO1,EX_cobalt2,0.0,1000.0
PknF_KO1,EX_crn,0.0,1000.0
PknF_KO1,EX_cu2,-1000.0,1000.0
PknF_KO1,EX_cytd,0.0,1000.0
PknF_KO1,EX_etha,0.0,1000.0
PknF_KO1,EX_fe2,-1000.0,1000.0
PknF_KO1,EX_fe3,-1000.0,1000.0
PknF_KO1,EX_fum,0.0,1000.0
PknF_KO1,EX_gal,0.0,1000.0
PknF_KO1,EX_glc,0.0,1000.0
PknF_KO1,EX_glu_L,-1.0,1000.0
PknF_KO1,EX_gly,0.0,1000.0
PknF_KO1,EX_glyb,0.0,1000.0
PknF_KO1,EX_glyc3p,0.0,1000.0
PknF_KO1,EX_glyc,0.0,1000.0
PknF_KO1,EX_gthrd,0.0,1000.0
PknF_KO1,EX_h2,0.0,1000.0
PknF_KO1,EX_h2co3,-1000.0,1000.0
PknF_KO1,EX_h2o,0.0,1000.0
PknF_KO1,EX_h2s,0.0,1000.0
PknF_KO1,EX_h,-1000.0,1000.0
PknF_KO1,EX_hdca,0.0,1000.0
PknF_KO1,EX_his_L,0.0,1000.0
PknF_KO1,EX_id3acald,0.0,1000.0
PknF_KO1,EX_ile_L,0.0,1000.0
PknF_KO1,EX_k,-1000.0,1000.0
PknF_KO1,EX_lac_L,0.0,1000.0
PknF_KO1,EX_lcts,0.0,1000.0
PknF_KO1,EX_leu_L,0.0,1000.0
PknF_KO1,EX_lys_L,0.0,1000.0
PknF_KO1,EX_mal_L,0.0,1000.0
PknF_KO1,EX_malt,0.0,1000.0
PknF_KO1,EX_malthp,0.0,1000.0
PknF_KO1,EX_meoh,0.0,1000.0
PknF_KO1,EX_met_L,0.0,1000.0
PknF_KO1,EX_mg2,-1000.0,1000.0
PknF_KO1,EX_na1,-1000.0,1000.0
PknF_KO1,EX_nh4,-20.0,1000.0
PknF_KO1,EX_no2,0.0,1000.0
PknF_KO1,EX_no3,0.0,1000.0
PknF_KO1,EX_no,0.0,1000.0
PknF_KO1,EX_o2,-20.0,1000.0
PknF_KO1,EX_ocdca,0.0,1000.0
PknF_KO1,EX_orn,0.0,1000.0
PknF_KO1,EX_pac,0.0,1000.0
PknF_KO1,EX_pdima,0.0,1000.0
PknF_KO1,EX_phdca,0.0,1000.0
PknF_KO1,EX_phe_L,0.0,1000.0
PknF_KO1,EX_pi,-1000.0,1000.0
PknF_KO1,EX_ppa,0.0,1000.0
PknF_KO1,EX_ppdima,0.0,1000.0
PknF_KO1,EX_pro_L,0.0,1000.0
PknF_KO1,EX_pyr,0.0,1000.0
PknF_KO1,EX_rib_D,0.0,1000.0
PknF_KO1,EX_ser_D,0.0,1000.0
PknF_KO1,EX_ser_L,0.0,1000.0
PknF_KO1,EX_skm,0.0,1000.0
PknF_KO1,EX_so4,-1000.0,1000.0
PknF_KO1,EX_succ,0.0,1000.0
PknF_KO1,EX_tartr_L,0.0,1000.0
PknF_KO1,EX_thr_L,0.0,1000.0
PknF_KO1,EX_tre,0.0,1000.0
PknF_KO1,EX_trp_L,0.0,1000.0
PknF_KO1,EX_tsul,0.0,1000.0
PknF_KO1,EX_ttdca,0.0,1000.0
PknF_KO1,EX_tyr_L,0.0,1000.0
PknF_KO1,EX_val_L,0.0,1000.0
PknF_KO1,EX_ac,-10.0,1000.0
PknF_KO1,EX_4abz,0.0,1000.0
PknF_KO1,EX_for,0.0,1000.0
PknF_KO1,EX_akg,0.0,1000.0
PknF_KO1,EX_gua,0.0,1000.0
PknF_KO1,EX_ad,0.0,1000.0
PknF_KO1,Adt,-1000.0,1000.0
PknF_KO1,EX_urea,0.0,1000.0
PknF_KO1,FACOAE140,0.0,1000.0
PknF_KO1,FACOAE160,0.0,1000.0
PknF_KO1,FACOAE180,0.0,1000.0
PknF_KO1,FACOAL140,0.0,1.1750000000000003
PknF_KO1,FACOAL160,-1000.0,1000.0
PknF_KO1,FACOAL161,-0.23703703703675885,0.0400000009690068
PknF_KO1,FACOAL180,0.0,1.1750000000000003
PknF_KO1,FACOAL181,-1000.0,1000.0
PknF_KO1,FACOAL200,0.0,0.0033333333334060935
PknF_KO1,FACOAL80,-1000.0,1000.0
PknF_KO1,FACOALPHDCA,-1000.0,1000.0
PknF_KO1,FACOALPREPH,-0.003333333333481884,1.1749999999999998
PknF_KO1,FAH4,0.0,1000.0
PknF_KO1,FAMPL1,0.0,0.0001928991461853543
PknF_KO1,FAMPL2,0.0,0.0001403872222680569
PknF_KO1,FAMPL3,0.0,0.0001141049023428947
PknF_KO1,FAMPL4,-4.274656144405532e-14,2.6249826298396783e-05
